timeOpen;timeClose;timeHigh;timeLow;name;open;high;low;close;volume;marketCap;circulatingSupply;timestamp
"2026-05-12T00:00:00.000Z";"2026-05-12T23:59:59.999Z";"2026-05-12T00:04:00.000Z";"2026-05-12T16:52:00.000Z";"2798";120589843.93115309;120630685.5927783;119211629.7241577;120193974.72636291;47493068363471.06;2378339475088826.5;20028540;"2026-05-12T23:59:59.999Z"
"2026-05-11T00:00:00.000Z";"2026-05-11T23:59:59.999Z";"2026-05-11T00:01:00.000Z";"2026-05-11T14:33:00.000Z";"2798";120050358.11296135;120594193.55506064;118303576.41420712;120594193.55506064;47368521797479.39;2392275035894664;20028134;"2026-05-11T23:59:59.999Z"
"2026-05-10T00:00:00.000Z";"2026-05-10T23:59:59.999Z";"2026-05-10T23:16:00.000Z";"2026-05-10T20:51:00.000Z";"2798";117986998.4723939;120500534.9368136;117345526.8174713;120050193.86785981;39442261769328.08;2406160308553725;20027612;"2026-05-10T23:59:59.999Z"
"2026-05-09T00:00:00.000Z";"2026-05-09T23:59:59.999Z";"2026-05-09T18:31:00.000Z";"2026-05-09T00:11:00.000Z";"2798";117228064.81099643;118459472.6639977;117128925.11256021;117924852.41605382;26463803021720.68;2361732399126404.5;20027128;"2026-05-09T23:59:59.999Z"
"2026-05-08T00:00:00.000Z";"2026-05-08T23:59:59.999Z";"2026-05-08T12:31:00.000Z";"2026-05-08T03:06:00.000Z";"2798";116477431.32046853;117625106.52358742;116000321.01392117;117226631.51939566;49190292526036.21;2337840564361529;20026606;"2026-05-08T23:59:59.999Z"
"2026-05-07T00:00:00.000Z";"2026-05-07T23:59:59.999Z";"2026-05-07T07:18:00.000Z";"2026-05-07T17:28:00.000Z";"2798";117701029.71964233;118224663.25794429;115711292.97257562;116477967.74614146;53382054579146.86;2316180137403326;20026153;"2026-05-07T23:59:59.999Z"
"2026-05-06T00:00:00.000Z";"2026-05-06T23:59:59.999Z";"2026-05-06T11:24:00.000Z";"2026-05-06T00:50:00.000Z";"2798";119369601.5402965;119415288.14926696;117700697.14826894;117700697.14826894;61581851438596.24;2405171493208351.5;20025690;"2026-05-06T23:59:59.999Z"
"2026-05-05T00:00:00.000Z";"2026-05-05T23:59:59.999Z";"2026-05-05T21:05:00.000Z";"2026-05-05T00:02:00.000Z";"2798";117903341.39328383;120017414.69434217;117850237.37202378;119364164.10167597;58639043599390.98;2393792452243712.5;20025243;"2026-05-05T23:59:59.999Z"
"2026-05-04T00:00:00.000Z";"2026-05-04T23:59:59.999Z";"2026-05-04T17:55:00.000Z";"2026-05-04T10:27:00.000Z";"2798";115680320.13448666;119277787.98712242;115420119.86094922;117909808.69809671;80014260573615.8;2354172830224161.5;20023521;"2026-05-04T23:59:59.999Z"
"2026-05-03T00:00:00.000Z";"2026-05-03T23:59:59.999Z";"2026-05-03T22:17:00.000Z";"2026-05-03T06:28:00.000Z";"2798";115918782.28604002;116950044.44405861;114870479.01335151;115677275.73245339;30276887764649.098;2317666131704381.5;20023521;"2026-05-03T23:59:59.999Z"
"2026-05-02T00:00:00.000Z";"2026-05-02T23:59:59.999Z";"2026-05-02T21:39:00.000Z";"2026-05-02T05:22:00.000Z";"2798";115024485.83532992;116601205.60757677;114998226.31564738;115919546.92981128;24661577043123.715;2317306458305941.5;20023521;"2026-05-02T23:59:59.999Z"
"2026-05-01T00:00:00.000Z";"2026-05-01T23:59:59.999Z";"2026-05-01T13:56:00.000Z";"2026-05-01T00:00:00.000Z";"2798";112562786.40802984;116041377.86259803;112547499.48996526;115026331.75392003;57773969934614.04;2309206480732531;20023412;"2026-05-01T23:59:59.999Z"
"2026-04-30T00:00:00.000Z";"2026-04-30T23:59:59.999Z";"2026-04-30T13:47:00.000Z";"2026-04-30T05:28:00.000Z";"2798";112787693.14821257;113153815.91954963;111869487.65650448;112549834.40640077;43904141481224.28;2274027053759408;20022918;"2026-04-30T23:59:59.999Z"
"2026-04-29T00:00:00.000Z";"2026-04-29T23:59:59.999Z";"2026-04-29T10:31:00.000Z";"2026-04-29T18:11:00.000Z";"2798";112471434.64915727;115216284.4106017;111688737.542973;112783976.87829764;61075648798527.38;2235074979038228;20022396;"2026-04-29T23:59:59.999Z"
"2026-04-28T00:00:00.000Z";"2026-04-28T23:59:59.999Z";"2026-04-28T00:43:00.000Z";"2026-04-28T14:42:00.000Z";"2798";114040200.4398359;114137938.7069229;111653955.96134372;112471414.1518922;47251703053171.8;2253295914984246.5;20022087;"2026-04-28T23:59:59.999Z"
"2026-04-27T00:00:00.000Z";"2026-04-27T23:59:59.999Z";"2026-04-27T01:02:00.000Z";"2026-04-27T19:31:00.000Z";"2798";116079222.31668697;117396013.44996743;112761089.47299586;114037995.43894409;56276346271829.59;2285899389799474.5;20021662;"2026-04-27T23:59:59.999Z"
"2026-04-26T00:00:00.000Z";"2026-04-26T23:59:59.999Z";"2026-04-26T21:56:00.000Z";"2026-04-26T03:38:00.000Z";"2798";114606636.74403885;116536534.33615947;114195789.84067713;116074094.00961934;31722560768748.16;2325545729599239.5;20021228;"2026-04-26T23:59:59.999Z"
"2026-04-25T00:00:00.000Z";"2026-04-25T23:59:59.999Z";"2026-04-25T10:35:00.000Z";"2026-04-25T16:39:00.000Z";"2798";114376420.58312698;115004624.90784839;113976344.80456503;114605010.0740368;24664219182986.258;2294511166413137.5;20020753;"2026-04-25T23:59:59.999Z"
"2026-04-24T00:00:00.000Z";"2026-04-24T23:59:59.999Z";"2026-04-24T02:04:00.000Z";"2026-04-24T22:40:00.000Z";"2798";115904529.39682025;116377628.48838757;114171510.70915262;114373617.2535851;48551663555430.164;2296530006242122;20020315;"2026-04-24T23:59:59.999Z"
"2026-04-23T00:00:00.000Z";"2026-04-23T23:59:59.999Z";"2026-04-23T15:25:00.000Z";"2026-04-23T17:48:00.000Z";"2798";115660528.22908968;116238438.89175369;114495494.60720263;115912127.14774792;59683350278784.5;2317282172921384;20019856;"2026-04-23T23:59:59.999Z"
"2026-04-22T00:00:00.000Z";"2026-04-22T23:59:59.999Z";"2026-04-22T16:06:00.000Z";"2026-04-22T01:31:00.000Z";"2798";113523529.05839497;117683977.8730807;112586537.45421652;115659384.50457703;71866989685515.66;2327738567961561;20019493;"2026-04-22T23:59:59.999Z"
"2026-04-21T00:00:00.000Z";"2026-04-21T23:59:59.999Z";"2026-04-21T08:49:00.000Z";"2026-04-21T19:45:00.000Z";"2798";111552962.48541798;113521390.45612134;111365178.88389347;113521390.45612134;53596239728081.55;2247354049964769;20019059;"2026-04-21T23:59:59.999Z"
"2026-04-20T00:00:00.000Z";"2026-04-20T23:59:59.999Z";"2026-04-20T20:22:00.000Z";"2026-04-20T00:01:00.000Z";"2798";108281702.55004297;112675594.72663534;108166351.11712554;111552512.18919477;58168852533888.29;2226900822855161;20018659;"2026-04-20T23:59:59.999Z"
"2026-04-19T00:00:00.000Z";"2026-04-19T23:59:59.999Z";"2026-04-19T13:24:00.000Z";"2026-04-19T22:25:00.000Z";"2798";111089687.99969803;111851662.5575228;108205665.72728916;108284793.76544818;45377769588139.21;2168919227500283.2;20018243;"2026-04-19T23:59:59.999Z"
"2026-04-18T00:00:00.000Z";"2026-04-18T23:59:59.999Z";"2026-04-18T02:24:00.000Z";"2026-04-18T18:43:00.000Z";"2798";113161665.64486861;113573403.11047691;110768015.59856527;111093374.3980897;38164189596515.92;2223764491059078.8;20017740;"2026-04-18T23:59:59.999Z"
"2026-04-17T00:00:00.000Z";"2026-04-17T23:59:59.999Z";"2026-04-17T16:24:00.000Z";"2026-04-17T02:31:00.000Z";"2798";111161557.52129638;114454743.32509264;110377093.32074143;113148214.76635638;80064545218172.3;2283529763051443;20017268;"2026-04-17T23:59:59.999Z"
"2026-04-16T00:00:00.000Z";"2026-04-16T23:59:59.999Z";"2026-04-16T20:01:00.000Z";"2026-04-16T13:56:00.000Z";"2798";110348872.02293004;111709934.1458987;108442929.23863667;111143938.62930448;60937920122804.46;2219262551157254;20016834;"2026-04-16T23:59:59.999Z"
"2026-04-15T00:00:00.000Z";"2026-04-15T23:59:59.999Z";"2026-04-15T22:40:00.000Z";"2026-04-15T07:46:00.000Z";"2798";109078584.00426064;111231531.99784712;108413937.4066008;110341848.37746239;56008476370160.66;2201864612957391.8;20016359;"2026-04-15T23:59:59.999Z"
"2026-04-14T00:00:00.000Z";"2026-04-14T23:59:59.999Z";"2026-04-14T14:33:00.000Z";"2026-04-14T18:51:00.000Z";"2798";110074609.02682342;111830124.3173555;108781382.08995533;109077142.34959698;79130129162064.73;2194478963249742.5;20015937;"2026-04-14T23:59:59.999Z"
"2026-04-13T00:00:00.000Z";"2026-04-13T23:59:59.999Z";"2026-04-13T23:31:00.000Z";"2026-04-13T08:47:00.000Z";"2798";104946465.12090324;110692259.17103317;104946465.12090324;110139822.83452572;77538130390580.83;2211009305391669.5;20015462;"2026-04-13T23:59:59.999Z"
